id,conference,college,name,full_name,abbreviation
49,4,Indiana,Hoosiers,Indiana Hoosiers,IU
50,4,Iowa,Hawkeyes,Iowa Hawkeyes,IOWA
51,4,Maryland,Terrapins,Maryland Terrapins,MD
52,4,Michigan State,Spartans,Michigan State Spartans,MSU
53,4,Michigan,Wolverines,Michigan Wolverines,MICH
54,4,Minnesota,Golden Gophers,Minnesota Golden Gophers,MINN
55,4,Nebraska,Cornhuskers,Nebraska Cornhuskers,NEB
56,4,Northwestern,Wildcats,Northwestern Wildcats,NU
57,4,Ohio State,Buckeyes,Ohio State Buckeyes,OSU
58,4,Oregon,Ducks,Oregon Ducks,ORE
59,4,Penn State,Nittany Lions,Penn State Nittany Lions,PSU
60,4,Purdue,Boilermakers,Purdue Boilermakers,PUR
61,4,Rutgers,Scarlet Knights,Rutgers Scarlet Knights,RUTG
62,4,UCLA,Bruins,UCLA Bruins,UCLA
63,4,USC,Trojans,USC Trojans,USC
64,4,Washington,Huskies,Washington Huskies,WASH
65,4,Wisconsin,Badgers,Wisconsin Badgers,WIS
66,5,Delaware,Blue Hens,Delaware Blue Hens,DEL
67,5,Florida International,Panthers,Florida International Panthers,FIU
68,5,Jacksonville State,Gamecocks,Jacksonville State Gamecocks,JXST
69,5,Kennesaw State,Owls,Kennesaw State Owls,KENN
70,5,Liberty,Flames,Liberty Flames,LIB
71,5,Louisiana Tech,Bulldogs,Louisiana Tech Bulldogs,LT
72,5,Middle Tennessee,Blue Raiders,Middle Tennessee Blue Raiders,MTSU
73,5,Missouri State,Bears,Missouri State Bears,MOST
74,5,New Mexico State,Aggies,New Mexico State Aggies,NMSU
75,5,Sam Houston,Bearkats,Sam Houston Bearkats,SHSU
76,5,UTEP,Miners,UTEP Miners,UTEP
77,5,Western Kentucky,Hilltoppers,Western Kentucky Hilltoppers,WKU
78,6,Notre Dame,Fighting Irish,Notre Dame Fighting Irish,ND
79,6,UConn,Huskies,UConn Huskies,CONN
80,7,Akron,Zips,Akron Zips,AKR
81,7,Ball State,Cardinals,Ball State Cardinals,BALL
82,7,Bowling Green,Falcons,Bowling Green Falcons,BGSU
83,7,Buffalo,Bulls,Buffalo Bulls,BUF
84,7,Central Michigan,Chippewas,Central Michigan Chippewas,CMU
85,7,Eastern Michigan,Eagles,Eastern Michigan Eagles,EMU
86,7,Kent State,Golden Flashes,Kent State Golden Flashes,KENT
87,7,Massachusetts,Minutemen,Massachusetts Minutemen,MASS
88,7,Miami (OH),RedHawks,Miami (OH) RedHawks,M-OH
89,7,Northern Illinois,Huskies,Northern Illinois Huskies,NIU
90,7,Ohio,Bobcats,Ohio Bobcats,OHIO
91,7,Toledo,Rockets,Toledo Rockets,TOL
92,7,Western Michigan,Broncos,Western Michigan Broncos,WMU
93,8,Air Force,Falcons,Air Force Falcons,AF
94,8,Boise State,Broncos,Boise State Broncos,BOIS
95,8,Colorado State,Rams,Colorado State Rams,CSU
96,8,Fresno State,Bulldogs,Fresno State Bulldogs,FRES
97,8,Hawai'i,Rainbow Warriors,Hawai'i Rainbow Warriors,HAW
98,8,Nevada,Wolf Pack,Nevada Wolf Pack,NEV
99,8,New Mexico,Lobos,New Mexico Lobos,UNM
100,8,San Diego State,Aztecs,San Diego State Aztecs,SDSU
101,8,San José State,Spartans,San José State Spartans,SJSU
102,8,UNLV,Rebels,UNLV Rebels,UNLV
103,8,Utah State,Aggies,Utah State Aggies,USU
